county,state,fips,zone,lat,lng,ne_lat,ne_lng,sw_lat,sw_lng
Fayette,KY,021067,Eastern Time (US & Canada),38.0423,-84.4588,38.211404,-84.282715,37.845256,-84.660415
Fleming,KY,021069,Eastern Time (US & Canada),38.3701,-83.6967,,,,
Floyd,KY,021071,Eastern Time (US & Canada),37.5572,-82.7457,37.756377,-82.563543,37.2853039,-82.946061
Franklin,KY,021073,Eastern Time (US & Canada),38.2391,-84.877,36.802912,-86.51191,36.692592,-86.602482
Fulton,KY,021075,Central Time (US & Canada),36.5541,-89.1873,36.532821,-88.8585739,36.5023769,-88.90149
Gallatin,KY,021077,Eastern Time (US & Canada),38.7569,-84.8592,38.8594409,-84.660095,38.66211,-85.023518
Garrard,KY,021079,Eastern Time (US & Canada),37.6396,-84.5376,37.8301609,-84.347809,37.47262690000001,-84.74605900000002
Grant,KY,021081,Eastern Time (US & Canada),38.6488,-84.6245,38.803553,-84.47626,38.472805,-84.785786
Graves,KY,021083,Central Time (US & Canada),36.723,-88.6512,36.946746,-88.484127,36.5006599,-88.81979400000002
Grayson,KY,021085,Central Time (US & Canada),37.4608,-86.3439,38.3491829,-82.898337,38.3139399,-82.962829
Green,KY,021087,Central Time (US & Canada),37.2639,-85.5531,37.4720919,-85.35279,37.1094529,-85.6974319
Greenup,KY,021089,Eastern Time (US & Canada),38.5456,-82.9223,38.5838229,-82.81180900000001,38.562618,-82.847861
Hancock,KY,021091,Central Time (US & Canada),37.8415,-86.778,37.9993659,-86.6220929,37.65506,-86.987415
Hardin,KY,021093,Eastern Time (US & Canada),37.6979,-85.9635,36.770569,-88.292819,36.757352,-88.31671600000001
Harlan,KY,021095,Eastern Time (US & Canada),36.857,-83.2179,36.858986,-83.307615,36.8114149,-83.333219
Harrison,KY,021097,Eastern Time (US & Canada),38.4418,-84.3315,38.5823139,-84.102509,38.277856,-84.55729800000002
Hart,KY,021099,Central Time (US & Canada),37.2999,-85.8847,37.4498369,-85.65062600000002,37.1483969,-86.15782349999999
Henderson,KY,021101,Central Time (US & Canada),37.7961,-87.5729,37.892367,-87.513539,37.7910339,-87.659252
Henry,KY,021103,Eastern Time (US & Canada),38.4484,-85.1189,38.596903,-84.867261,38.335614,-85.3459829
